region,arm,radius_km,regret_gbp,rho_pointwise,rho_aggregate,cost_mae_gbp
TLF2,SMOOTH-0.5,10.0,13646694.99999997,0.9162905770992681,0.9131436407859103,11139371.386359598
TLF2,SMOOTH-1,10.0,1313650.0,0.8687322045991508,0.8958411514602879,13557838.820616592
TLF2,SMOOTH-2,10.0,26332125.0,0.4082571767218573,0.30095650073912517,27611985.375193175
TLF2,PERM-R/3,10.0,5032720.0,0.8185854993139128,0.9983635715908928,6931309.2010046765
TLF2,REF,20.0,3429250.0000000037,1.0,1.0,7811747.271140044
TLF2,LU,20.0,31991785.000000007,0.017244134130196678,0.8680461580115395,26142519.779601865
TLF2,GNN,20.0,24325100.000000022,0.19209506930012138,0.9748034452008613,14123266.854832469
TLF2,PERM-R,20.0,29513480.000000022,0.2841565735944815,0.8643846000961499,26678857.637151565
TLF2,PERM-3R,20.0,26649250.000000015,0.07565557603897387,0.840360912090228,30490088.476364974
TLF2,SMOOTH-0.5,20.0,1647115.0000000026,0.9575573166536507,0.9863152910788225,13046569.053685023
TLF2,SMOOTH-1,20.0,57611400.0,0.8654318047191988,0.8445286541321635,56028663.36676678
TLF2,SMOOTH-2,20.0,56139080.0,0.48944014395097396,0.1246144676536169,61611756.614966065
TLF2,PERM-R/3,20.0,3114275.000000003,0.6551163663378816,0.9939960579990145,11669405.908004392
TLC1,REF,10.0,1921230.803710945,1.0,0.9999999999999998,5126508.726302085
TLC1,LU,10.0,13156415.676757812,0.33730256510500833,0.6257275693704836,15987923.427011393
TLC1,GNN,10.0,8856622.761230469,0.3243701278430147,0.9421631444540308,8419918.44358565
TLC1,PERM-R,10.0,10675463.069335938,0.7898159590104089,0.9930894540119976,6193091.275089533
TLC1,PERM-3R,10.0,17380899.15234375,0.6863897997532349,0.961208000493812,9161211.231768804
TLC1,SMOOTH-0.5,10.0,24954842.537597656,0.9487823873616328,0.9015958930013669,11944253.741802352
TLC1,SMOOTH-1,10.0,27643327.80029297,0.900938383825644,0.8937603845307366,12033826.002479307
TLC1,SMOOTH-2,10.0,25670741.89501953,0.9075364491818911,0.9161076826510822,15349604.905453209
TLC1,PERM-R/3,10.0,1395397.871093765,0.9074685080244562,0.9997071031763365,5196707.277659629
TLC1,REF,20.0,2645939.177246091,1.0,1.0,5000227.099613523
TLC1,LU,20.0,9602411.737792978,0.33730256510500833,0.84293228023307,22643235.766186547
TLC1,GNN,20.0,0.0,0.3243701278430147,0.9804361956090488,10901224.246804023
TLC1,PERM-R,20.0,10082933.042480478,0.7007057171285542,0.9910976987744244,9967375.989559883
TLC1,PERM-3R,20.0,17199244.686523445,0.5917439024693246,0.8938123934530984,23133699.388850722
TLC1,SMOOTH-0.5,20.0,0.0,0.9861183580948167,0.9940416085104021,8044414.654821366
TLC1,SMOOTH-1,20.0,2559674.353515626,0.9678247164296373,0.9828539667134918,18418107.266114805
TLC1,SMOOTH-2,20.0,22909267.680664066,0.8660017329365384,0.9134741793685448,22529184.491809785
TLC1,PERM-R/3,20.0,3776857.80078125,0.8568875155311964,0.9996774009193502,5482470.87341093
TLC2,REF,10.0,1818886.7304687544,1.0,1.0,3476049.1090609776
TLC2,LU,10.0,4315364.248535166,0.5955743370730353,0.8687991458057124,6629027.948236928
TLC2,GNN,10.0,4931006.859375009,0.3103027725680091,0.8541184787690435,5064484.082601656
TLC2,PERM-R,10.0,3009111.382324226,0.8824534530024698,0.9952111684666728,4283322.306811375
TLC2,PERM-3R,10.0,11988506.681152355,0.6548715951337414,0.9402608255142653,10682359.610518776
TLC2,SMOOTH-0.5,10.0,11177972.554199226,0.9650209851038264,0.9816454517113948,4776141.483475304
TLC2,SMOOTH-1,10.0,8274339.248046878,0.8606505361356384,0.8882857154721886,6402826.811853848
