region,mode,method,weight_source,solver,eval_weight,k,WSD,LWFL,LBI,DCR_1km,DCR_2km,DCR_5km,D_region_mva,low_conf_frac,match_dist_median_km,n_matched,TUR_mean,TUR_median,TUR_aggregate,CE_mean,CE_median,OPR,UPR,RSD_mean,RSD_median,FCE_mean,FCE_median,TUR_actual_observed,collision_rate_many_to_one
TLH2,a1a,GNN-oof-123,gnn_oof_123,greedy,gpm,94,2.23822570479932,2.23822570479932,0.3274001525138481,0.1696695765461549,0.48127573968791526,0.9685734833965348,,,,,,,,,,,,,,,,,
TLH2,a1a,GNN-oof-123,gnn_oof_123,greedy,gpm_soft,94,2.2307610696686333,2.230761069668633,0.42129037191694446,0.1688891469459708,0.48563292573169375,0.9682269718078184,,,,,,,,,,,,,,,,,
TLH2,a1a,GNN-oof-123,gnn_oof_123,greedy,SIZING,94,,,,,,,1164.6809615864781,0.010638297872340425,1.963504789869015,93.0,81.47287558184209,75.53769274545446,72.97189318431683,71.44492414439488,38.213085090047265,0.2903225806451613,0.27956989247311825,44.28643732385116,36.52013239077962,63.56013211560242,41.68691234643889,93.94,
TLH2,a1a,GNN-oof-123,gnn_oof_123,greedy,SIZING_1TO1,94,,,,,,,1164.6809615864781,0.0425531914893617,2.7183675610537863,90.0,77.22488910760109,70.2363926013318,67.02056909673709,85.78581120899055,54.605689541093355,0.28888888888888886,0.2,48.68813157165529,32.53701368328681,68.12477120774837,43.139620779785986,93.30499999999999,0.2553191489361702
TLH2,a1a,GNN-oof-456,gnn_oof_456,greedy,real,94,2.2706371559200758,2.2706371559200758,0.43532145619368756,0.14515967732543084,0.4654907753711969,0.9728305880379982,,,,,,,,,,,,,,,,,
TLH2,a1a,GNN-oof-456,gnn_oof_456,greedy,uniform,94,2.5394271590425097,2.53942715904251,0.5390831528271549,0.1210457841278666,0.39400471872093823,0.9468921244242727,,,,,,,,,,,,,,,,,
TLH2,a1a,GNN-oof-456,gnn_oof_456,greedy,gpm,94,2.264162208666455,2.264162208666455,0.3576318193490685,0.16402960859241378,0.48265138303634775,0.9667566149030441,,,,,,,,,,,,,,,,,
TLH2,a1a,GNN-oof-456,gnn_oof_456,greedy,gpm_soft,94,2.2382522172317048,2.2382522172317043,0.4483094440960171,0.1715139658052008,0.4983943611016013,0.9627326638490733,,,,,,,,,,,,,,,,,
TLH2,a1a,GNN-oof-456,gnn_oof_456,greedy,SIZING,94,,,,,,,1164.6809615864781,0.0,1.9718852606604007,94.0,81.31038012176171,68.0110976544812,72.7677651321974,74.02374772953848,51.09758129152542,0.2553191489361702,0.2765957446808511,41.57851360435287,35.56146658781755,66.8456768474,46.59708670385557,93.75999999999999,
TLH2,a1a,GNN-oof-456,gnn_oof_456,greedy,SIZING_1TO1,94,,,,,,,1164.6809615864781,0.10638297872340426,3.0426909660257833,84.0,76.76439806512028,63.406329035344896,67.27360125516132,85.44852053406277,62.13651970821874,0.32142857142857145,0.21428571428571427,46.206678940271615,34.7072787641505,71.19303397538883,58.68448736208599,93.75999999999999,0.23404255319148937
TLH3,a1a,Uni,uniform,greedy,real,97,2.377238964889899,2.377238964889899,0.6222900722082705,0.09732423584826935,0.36291793830563013,0.997367009663118,,,,,,,,,,,,,,,,,
TLH3,a1a,Uni,uniform,greedy,uniform,97,2.3819193310760753,2.3819193310760753,0.2528506007915047,0.09776961735300263,0.3629651360142283,0.9974583557618738,,,,,,,,,,,,,,,,,
TLH3,a1a,Uni,uniform,greedy,gpm,97,2.3869957010708394,2.3869957010708394,0.3188138346862022,0.09688898312592877,0.3619002468933301,0.997318420903583,,,,,,,,,,,,,,,,,
TLH3,a1a,Uni,uniform,greedy,gpm_soft,97,2.371469308875491,2.371469308875491,0.33467636567609327,0.09892552358460943,0.3640432876353062,0.9983510902588376,,,,,,,,,,,,,,,,,
TLH3,a1a,Uni,uniform,greedy,SIZING,97,,,,,,,1126.53606,0.0,2.5938731258396643,97.0,73.17609621967634,58.5112133256698,69.1540129956724,96.10526938668029,70.90741127415386,0.36082474226804123,0.16494845360824742,49.19194742010755,35.79815958442536,83.53819501442081,61.72561288848113,93.24,
TLH3,a1a,Uni,uniform,greedy,SIZING_1TO1,97,,,,,,,1126.53606,0.13402061855670103,4.939044947489429,84.0,73.0603025344323,58.29201687975116,67.55366785755002,95.68324460796005,71.55250302021662,0.39285714285714285,0.16666666666666666,48.08484534099043,41.65602820361546,82.80837237824197,65.47753320205871,93.325,0.27835051546391754
TLH3,a1a,LU,gpm,greedy,real,97,2.3685863850099507,2.3685863850099507,0.6162162352562957,0.10753199890505949,0.39072343251585745,0.9894198668109206,,,,,,,,,,,,,,,,,
TLH3,a1a,LU,gpm,greedy,uniform,97,2.438551676424624,2.438551676424624,0.2721666826522225,0.0981785766209319,0.35841982615799506,0.9922486724723372,,,,,,,,,,,,,,,,,
TLH3,a1a,LU,gpm,greedy,gpm,97,2.348930192055797,2.348930192055797,0.24195503353468195,0.12352643760359318,0.39896739814673954,0.9920377694381162,,,,,,,,,,,,,,,,,
