region,arm,radius_km,dc_mw,cost_mae_gbp
TLH2,Ref,20.0,500.0,5693350.824628491
TLH2,GNN-oof-42,20.0,500.0,8595697.10590778
TLH2,GNN-oof-123,20.0,500.0,8017246.094678312
TLH2,GNN-oof-456,20.0,500.0,8317691.667952848
TLH3,Uni,5.0,100.0,5235119.766585427
TLH3,LU,5.0,100.0,4940663.196408295
TLH3,LU-soft,5.0,100.0,5276503.0121112615
TLH3,Ref,5.0,100.0,2988417.377040994
TLH3,GNN-oof-42,5.0,100.0,3805168.2993712937
TLH3,GNN-oof-123,5.0,100.0,3683454.692737008
TLH3,GNN-oof-456,5.0,100.0,3703781.722753697
TLH3,Uni,5.0,300.0,5243571.275321584
TLH3,LU,5.0,300.0,4945241.25919199
TLH3,LU-soft,5.0,300.0,5280321.309648924
TLH3,Ref,5.0,300.0,2988417.377040994
TLH3,GNN-oof-42,5.0,300.0,3805168.2993712933
TLH3,GNN-oof-123,5.0,300.0,3683454.692737007
TLH3,GNN-oof-456,5.0,300.0,3703781.722753697
TLH3,Uni,5.0,500.0,5243571.275321585
TLH3,LU,5.0,500.0,4945241.25919199
TLH3,LU-soft,5.0,500.0,5280321.309648924
TLH3,Ref,5.0,500.0,2988417.377040994
TLH3,GNN-oof-42,5.0,500.0,3805168.2993712933
TLH3,GNN-oof-123,5.0,500.0,3683454.692737007
TLH3,GNN-oof-456,5.0,500.0,3703781.722753697
TLH3,Uni,10.0,100.0,11471672.538118048
TLH3,LU,10.0,100.0,10386201.819124116
TLH3,LU-soft,10.0,100.0,11577661.213420104
TLH3,Ref,10.0,100.0,4254921.5622313535
TLH3,GNN-oof-42,10.0,100.0,7158753.270266065
TLH3,GNN-oof-123,10.0,100.0,6963883.70953987
TLH3,GNN-oof-456,10.0,100.0,6949233.969064434
TLH3,Uni,10.0,300.0,11482140.814408367
TLH3,LU,10.0,300.0,10393206.38053376
TLH3,LU-soft,10.0,300.0,11591249.736198176
TLH3,Ref,10.0,300.0,4254921.5622313535
TLH3,GNN-oof-42,10.0,300.0,7164667.776517585
TLH3,GNN-oof-123,10.0,300.0,6967634.92625172
TLH3,GNN-oof-456,10.0,300.0,6951750.736189621
TLH3,Uni,10.0,500.0,11482140.814408367
TLH3,LU,10.0,500.0,10393206.38053376
TLH3,LU-soft,10.0,500.0,11591249.736198174
TLH3,Ref,10.0,500.0,4254921.5622313535
TLH3,GNN-oof-42,10.0,500.0,7164667.776517585
TLH3,GNN-oof-123,10.0,500.0,6967634.926251719
TLH3,GNN-oof-456,10.0,500.0,6951750.736189621
TLH3,Uni,20.0,100.0,17408703.513059232
TLH3,LU,20.0,100.0,15589593.32568665
TLH3,LU-soft,20.0,100.0,18027995.082031637
TLH3,Ref,20.0,100.0,5471671.85518499
TLH3,GNN-oof-42,20.0,100.0,10504892.778023373
TLH3,GNN-oof-123,20.0,100.0,9204741.928194957
TLH3,GNN-oof-456,20.0,100.0,8317841.784411339
TLH3,Uni,20.0,300.0,18746377.26375103
TLH3,LU,20.0,300.0,16711534.594309002
TLH3,LU-soft,20.0,300.0,19271152.021075442
TLH3,Ref,20.0,300.0,5516323.691382894
TLH3,GNN-oof-42,20.0,300.0,10724287.334336182
TLH3,GNN-oof-123,20.0,300.0,9254870.449412838
TLH3,GNN-oof-456,20.0,300.0,8322440.471061535
TLH3,Uni,20.0,500.0,18746377.263751026
TLH3,LU,20.0,500.0,16711534.594309
TLH3,LU-soft,20.0,500.0,19271152.021075442
TLH3,Ref,20.0,500.0,5516323.691382894
TLH3,GNN-oof-42,20.0,500.0,10724287.334336182
TLH3,GNN-oof-123,20.0,500.0,9254870.449412838
TLH3,GNN-oof-456,20.0,500.0,8322440.471061535
TLJ1,Uni,5.0,100.0,7046347.997169334
TLJ1,LU,5.0,100.0,6800941.709303423
TLJ1,LU-soft,5.0,100.0,5745719.628766052
