arm,region,seed,in_sample,corr,rmse,mae
UniAddNP,TLG2,,False,0.3040790347287554,13.90947830996045,9.850877834753284
GPM,TLG2,,False,0.3044802100621725,13.94441350917547,9.884715348629198
GPMpostN,TLG2,,False,0.47205858752304386,12.149695286218064,8.615522443264423
GPMpostP,TLG2,,False,0.3605660690542023,12.685416746384732,9.182016794520335
GPMpostNP,TLG2,,False,0.5978778818362708,10.835885216859099,7.758352864698011
GPMaddN,TLG2,,False,0.41913576644982764,12.732916866904414,8.915322272799257
GPMaddP,TLG2,,False,0.3170775138076615,13.597093528051099,9.6497216226905
GPMaddNP,TLG2,,False,0.33949600942685926,13.436194141312722,9.47706426188654
Uni,TLE4,,False,-0.1975782333678063,13.76950684998619,9.988267485389983
UniN,TLE4,,False,-0.13955724003355666,11.370949741928284,8.300047247490442
UniP,TLE4,,False,-0.1041226346498078,8.450252333683531,6.457730208460205
UniNP,TLE4,,False,0.040651929330512725,6.584136449614097,5.033120646828593
UniAddN,TLE4,,False,-0.19757823336780625,13.769506849986186,9.988267485389983
UniAddP,TLE4,,False,-0.19757823336780625,13.769506849986186,9.988267485389983
UniAddNP,TLE4,,False,-0.1975782333678063,13.769506849986186,9.988267485389983
GPM,TLE4,,False,-0.13862161460969344,13.393759309818233,9.009948633828147
GPMpostN,TLE4,,False,-0.06954108607656768,10.914462330892437,7.430019196507649
GPMpostP,TLE4,,False,0.019864778513524115,7.709449586305793,5.583045189560259
GPMpostNP,TLE4,,False,0.1851345053801788,6.052361417613732,4.558697304791143
GPMaddN,TLE4,,False,0.06735198722309699,8.9122193977848,6.1340026043636255
GPMaddP,TLE4,,False,-0.04537084873435008,9.36752330960231,6.389897493653331
GPMaddNP,TLE4,,False,-0.01618496834576909,9.23483219925366,6.195390752327993
Uni,TLH1,,False,0.20718545215348189,7.532178864009573,6.0800472674345585
UniN,TLH1,,False,0.34511759824299637,6.368122237932796,5.157345909397541
UniP,TLH1,,False,0.35863811279220387,5.893921147901689,4.745529892475579
UniNP,TLH1,,False,0.5754245663895486,4.908345465616802,3.7971160117610125
UniAddN,TLH1,,False,0.20718545215348186,7.532178864009573,6.0800472674345585
UniAddP,TLH1,,False,0.20718545215348183,7.532178864009574,6.0800472674345585
UniAddNP,TLH1,,False,0.20718545215348183,7.532178864009574,6.0800472674345585
GPM,TLH1,,False,0.19122093321580644,7.52498746689967,6.110924352724362
GPMpostN,TLH1,,False,0.309660911948954,6.540280153928284,5.355276368688015
GPMpostP,TLH1,,False,0.31015443838474543,6.131256560786193,5.027468592808529
GPMpostNP,TLH1,,False,0.470791207941195,5.4003183193788376,4.18235959698328
GPMaddN,TLH1,,False,0.2969678698535081,6.662871384052311,5.380781194634008
GPMaddP,TLH1,,False,0.2211633020753304,7.075274616308084,5.773961103897629
GPMaddNP,TLH1,,False,0.2494902406307362,6.878684926109045,5.580002583100427
Uni,TLE3,,False,-0.19533877062360222,17.33637832120459,10.251931121832179
UniN,TLE3,,False,-0.17143745630566506,14.158544272724688,8.716752843214794
