country,region,arm,radius_km,dc_mw,eta,e_budget_mva,eps_max_mva,budget_realised,L_E,L_E_bound,L_S,L_S_bound,slack_E,slack_S,valid_E,valid_S
uk,London,GNN-oof-456,10.0,100.0,0.5,401.4867134565502,449.01850611829104,False,6245150.146206123,89949401.1936987,495667.4499999989,143867288.39283204,83704251.04749258,143371620.94283205,True,True
uk,London,GNN-oof-456,10.0,300.0,0.5,401.4867134565502,449.01850611829104,False,12862311.824235579,112058514.83630665,0.0,70704546.68133256,99196203.01207107,70704546.68133256,True,True
uk,London,GNN-oof-456,10.0,500.0,0.5,401.4867134565502,449.01850611829104,False,16233101.112075059,122429465.4454917,0.0,29751233.726541203,106196364.33341664,29751233.726541203,True,True
uk,London,GNN-oof-456,10.0,100.0,0.8,575.453392674794,449.01850611829104,True,6245150.146206123,140661919.03932506,495667.4499999989,218672960.4566769,134416768.89311895,218177293.0066769,True,True
uk,London,GNN-oof-456,10.0,300.0,0.8,575.453392674794,449.01850611829104,True,12862311.824235579,167059495.04219335,0.0,119328233.52283172,154197183.21795776,119328233.52283172,True,True
uk,London,GNN-oof-456,10.0,500.0,0.8,575.453392674794,449.01850611829104,True,16233101.112075059,179251042.62968048,0.0,48452651.74250239,163017941.51760542,48452651.74250239,True,True
uk,London,GNN-oof-456,10.0,100.0,0.9,642.42587071572,449.01850611829104,True,6245150.146206123,161222181.9541843,495667.4499999989,247471126.01427507,154977031.80797818,246975458.5642751,True,True
uk,London,GNN-oof-456,10.0,300.0,0.9,642.42587071572,449.01850611829104,True,12862311.824235579,188698328.58037764,0.0,138047041.13527054,175836016.75614205,138047041.13527054,True,True
uk,London,GNN-oof-456,10.0,500.0,0.9,642.42587071572,449.01850611829104,True,16233101.112075059,201532641.21476698,0.0,55652193.131901935,185299540.10269192,55652193.131901935,True,True
uk,London,GNN-oof-456,10.0,100.0,1.0,728.5129832491216,449.01850611829104,True,6245150.146206123,188502259.11452156,495667.4499999989,284488584.4036377,182257108.96831545,283992916.9536377,True,True
uk,London,GNN-oof-456,10.0,300.0,1.0,728.5129832491216,449.01850611829104,True,12862311.824235579,216805140.53722206,0.0,162108389.08835632,203942828.71298647,162108389.08835632,True,True
uk,London,GNN-oof-456,10.0,500.0,1.0,728.5129832491216,449.01850611829104,True,16233101.112075059,230358395.93603298,0.0,65378080.03617213,214125294.82395792,65378080.03617213,True,True
uk,London,Uni,20.0,100.0,0.5,852.7830790248079,668.8899583493853,True,289616.36898101604,36967915.60993661,0.0,13386628.981979337,36678299.24095559,13386628.981979337,True,True
uk,London,Uni,20.0,300.0,0.5,852.7830790248079,668.8899583493853,True,2092962.848831185,52038420.289269194,0.0,32703522.945458878,49945457.44043801,32703522.945458878,True,True
uk,London,Uni,20.0,500.0,0.5,852.7830790248079,668.8899583493853,True,5679296.403840454,64761186.956055924,0.0,58308085.983482644,59081890.55221547,58308085.983482644,True,True
uk,London,Uni,20.0,100.0,0.8,1319.9067264769988,668.8899583493853,True,289616.36898101604,80134285.26563947,0.0,69120451.33215648,79844668.89665845,69120451.33215648,True,True
uk,London,Uni,20.0,300.0,0.8,1319.9067264769988,668.8899583493853,True,2092962.848831185,99612505.47645015,0.0,107950487.56085654,97519542.62761895,107950487.56085654,True,True
uk,London,Uni,20.0,500.0,0.8,1319.9067264769988,668.8899583493853,True,5679296.403840454,116384322.79271893,0.0,150950487.5608566,110705026.38887848,150950487.5608566,True,True
uk,London,Uni,20.0,100.0,0.9,1723.0989105415135,668.8899583493853,True,289616.36898101604,125358402.19246878,0.0,151636807.13472715,125068785.82348776,151636807.13472715,True,True
uk,London,Uni,20.0,300.0,0.9,1723.0989105415135,668.8899583493853,True,2092962.848831185,148185562.94334215,0.0,206736648.8978104,146092600.09451097,206736648.8978104,True,True
uk,London,Uni,20.0,500.0,0.9,1723.0989105415135,668.8899583493853,True,5679296.403840454,168668942.8042036,0.0,283645748.701918,162989646.40036315,283645748.701918,True,True
uk,London,Uni,20.0,100.0,1.0,1830.6194789705987,668.8899583493853,True,289616.36898101604,138487546.81568024,0.0,177699099.96716827,138197930.44669923,177699099.96716827,True,True
uk,London,Uni,20.0,300.0,1.0,1830.6194789705987,668.8899583493853,True,2092962.848831185,162501060.1182523,0.0,247856208.6839741,160408097.26942113,247856208.6839741,True,True
uk,London,Uni,20.0,500.0,1.0,1830.6194789705987,668.8899583493853,True,5679296.403840454,184142888.8021578,0.0,326419942.31694764,178463592.39831734,326419942.31694764,True,True
uk,London,LU,20.0,100.0,0.5,831.8949549895864,386.28340460304935,True,95.50011919338303,30054258.47768657,0.0,10731890.872081097,30054162.977567375,10731890.872081097,True,True
uk,London,LU,20.0,300.0,0.5,831.8949549895864,386.28340460304935,True,810701.3163983355,45421958.29022512,0.0,29885675.31729565,44611256.97382678,29885675.31729565,True,True
uk,London,LU,20.0,500.0,0.5,831.8949549895864,386.28340460304935,True,3038293.4877678687,58781095.49873378,0.0,57357909.26433011,55742802.01096591,57357909.26433011,True,True
uk,London,LU,20.0,100.0,0.8,1356.206831416777,386.28340460304935,True,95.50011919338303,77729900.15161127,0.0,81030816.76809855,77729804.65149207,81030816.76809855,True,True
uk,London,LU,20.0,300.0,0.8,1356.206831416777,386.28340460304935,True,810701.3163983355,98966271.79954378,0.0,123636027.9224892,98155570.48314545,123636027.9224892,True,True
uk,London,LU,20.0,500.0,0.8,1356.206831416777,386.28340460304935,True,3038293.4877678687,117831226.80010426,0.0,176358559.2183625,114792933.31233639,176358559.2183625,True,True
uk,London,LU,20.0,100.0,0.9,1582.3739622621888,386.28340460304935,True,95.50011919338303,103056834.24997993,0.0,129261961.05425265,103056738.74986073,129261961.05425265,True,True
uk,London,LU,20.0,300.0,0.9,1582.3739622621888,386.28340460304935,True,810701.3163983355,126267763.78870118,0.0,186117850.98068392,125457062.47230284,186117850.98068392,True,True
uk,London,LU,20.0,500.0,0.9,1582.3739622621888,386.28340460304935,True,3038293.4877678687,147712797.67360336,0.0,263673824.65976128,144674504.18583548,263673824.65976128,True,True
uk,London,LU,20.0,100.0,1.0,1856.1286496450587,386.28340460304935,True,95.50011919338303,136806619.14051852,0.0,214660914.9978546,136806523.64039934,214660914.9978546,True,True
uk,London,LU,20.0,300.0,1.0,1856.1286496450587,386.28340460304935,True,810701.3163983355,163259418.74267995,0.0,293802614.45566356,162448717.42628163,293802614.45566356,True,True
uk,London,LU,20.0,500.0,1.0,1856.1286496450587,386.28340460304935,True,3038293.4877678687,188140349.55365023,0.0,375502614.4556636,185102056.06588235,375502614.4556636,True,True
