signal,seed,location,fold,source_idx,itl3,n_edges,n_off,off_frac,aux_mass_v_sum,valid,G_all,G_off,ratio_off,min_w,n_w_below_floor,n_off_gradient_gated,max_t_off
prox,42,London,fold1,19,TLI74,5475,2944,0.5377168949771689,6766.908052497376,True,8409.377998633461,75.79248966314132,0.00901285323069765,8.011069496660639e-08,0,0,1e-08
prox,42,London,fold1,20,TLI75,3719,1946,0.5232589405754235,4948.871068791867,True,4339.71665180878,68.15160375425194,0.015704159792517,1.2609093857918197e-07,0,0,1e-08
ntl,42,TLH2,fold1,0,TLH21,785,187,0.23821656050955414,1787.5864485259553,True,1541.4606934399778,0.4650959138504964,0.000301724147641139,8.62704894188937e-07,0,0,1e-08
ntl,42,TLH2,fold1,1,TLH23,29749,25751,0.8656089280311944,8508.348553037978,True,11238.143889339151,821.7244690268685,0.0731192336669031,3.873290577161015e-09,3427,3427,1e-08
ntl,42,TLH2,fold1,2,TLH24,8762,8009,0.9140607167313399,1652.3692077386445,True,3191.263366741063,1278.6111621206544,0.40065986889273253,2.936957521626482e-08,0,0,1e-08
ntl,42,TLH2,fold1,3,TLH25,13061,11734,0.8983998162468417,2558.539472001169,True,4583.70712995989,1485.8386040889027,0.3241565313754905,2.936483411986046e-08,0,0,1e-08
prox,42,TLH2,fold1,0,TLH21,785,187,0.23821656050955414,1248.9876173008913,True,1563.7774213246796,0.4650959138504964,0.0002974182306945656,8.62704894188937e-07,0,0,1e-08
prox,42,TLH2,fold1,1,TLH23,29749,25751,0.8656089280311944,7902.137197177676,True,11898.523897537221,821.7244690268685,0.06906104287414598,3.873290577161015e-09,3427,3427,1e-08
prox,42,TLH2,fold1,2,TLH24,8762,8009,0.9140607167313399,1195.4919724607369,True,3313.4578031868173,1278.6111621206544,0.38588424481848294,2.936957521626482e-08,0,0,1e-08
prox,42,TLH2,fold1,3,TLH25,13061,11734,0.8983998162468417,2342.932626657571,True,4713.407305787039,1485.8386040889027,0.3152366234644343,2.936483411986046e-08,0,0,1e-08
ntl,42,TLH3,fold3,0,TLH31,580,191,0.3293103448275862,1017.676864655222,True,663.827880175851,0.3909019288406545,0.0005888603665412529,1.086155293705815e-06,0,0,1e-08
ntl,42,TLH3,fold3,1,TLH32,2282,1592,0.6976336546888694,2072.5170626322574,True,1165.2296406690816,3.176104064854799,0.002725732296881035,7.181820933510608e-07,0,0,1e-08
ntl,42,TLH3,fold3,2,TLH34,18167,16562,0.9116529971927121,2681.140200628375,True,3762.721319844793,171.80022326888243,0.045658503159083,1.1133887767300621e-07,0,0,1e-08
ntl,42,TLH3,fold3,3,TLH35,14298,13460,0.941390404252343,1731.9617775171996,True,2264.431144685066,42.67214611700232,0.018844532419172808,1.733661179059709e-07,0,0,1e-08
ntl,42,TLH3,fold3,4,TLH36,12013,11011,0.9165903604428536,1808.2824237327343,True,2399.202318657949,65.4149829006524,0.027265304969046476,1.6862931317973562e-07,0,0,1e-08
